

         MODEL DEFAULTS
         --------------

Model Name:         PROJEC~1.MOD
Model Description:  BOWLING ALLEY
Output File:        UNTITLED.OUT
Output Plot Style:  NONE
Run Mode:           SINGLE_STEP
Trace Vars:         DAY,WDAY,AI,SI,B,SI,WAIT,CTIME,N,L[0],L[1],L[2],L[12],L[13],L[14],L[15],L[16],L[17],L[18],L[19],L[20],L[21],L[22],L[23
Random Number Seed: 12345
Initial Values:     0,26,0,0,0,0,0,0,0,0
Ending Condition:   STOP_ON_EVENT
Event:              END   (1 iterations)
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       DAY         WDAY        AI          SI          B           SI          WAIT        CTIME       N           L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
 821.414     ARRIVE      30          1           1           30          29          0           29          0.000       0.000       75          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 821.414     START       30          1           1           30          30          0           30          0.000       0.000       79          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 822.485     ARRIVE      31          1           1           31          30          0           30          0.000       0.000       79          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 822.485     START       31          1           1           31          31          0           31          0.000       0.000       83          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 823.802     ARRIVE      32          1           1           32          31          0           31          0.000       0.000       83          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 823.802     START       32          1           1           32          32          0           32          0.000       0.000       87          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 829.166     ARRIVE      33          1           1           33          32          0           32          0.000       0.000       87          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 829.166     START       33          1           1           33          33          0           33          0.000       0.000       88          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 829.494     FINISH      10          1           1           33          33          0           33          0.000       0.000       88          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 831.553     ARRIVE      34          1           1           34          33          0           33          0.000       0.000       88          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 831.553     START       34          1           1           34          34          0           34          0.000       0.000       89          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 833.858     FINISH      11          1           1           34          34          0           34          0.000       0.000       89          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 838.363     FINISH      12          1           1           34          34          0           34          0.000       0.000       89          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 840.000     LANES       2           1           1           34          34          0           34          0.000       0.000       89          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 840.361     ARRIVE      35          1           1           35          34          0           34          0.000       0.000       89          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 840.361     START       35          1           1           35          35          0           35          0.000       0.000       93          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 842.325     FINISH      13          1           1           35          35          0           35          0.000       0.000       93          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 844.806     ARRIVE      36          1           1           36          35          0           35          0.000       0.000       93          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 844.806     START       36          1           1           36          36          0           36          0.000       0.000       97          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 844.834     ARRIVE      37          1           1           37          36          0           36          0.000       0.000       97          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 844.834     START       37          1           1           37          37          0           37          0.000       0.000       99          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 846.584     ARRIVE      38          1           1           38          37          0           37          0.000       0.000       99          0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 846.584     START       38          1           1           38          38          0           38          0.000       0.000       103         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 848.848     ARRIVE      39          1           1           39          38          0           38          0.000       0.000       103         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 848.848     START       39          1           1           39          39          0           39          0.000       0.000       107         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 854.444     FINISH      14          1           1           39          39          0           39          0.000       0.000       107         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 854.674     FINISH      15          1           1           39          39          0           39          0.000       0.000       107         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 857.059     FINISH      16          1           1           39          39          0           39          0.000       0.000       107         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 860.128     FINISH      17          1           1           39          39          0           39          0.000       0.000       107         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 860.287     FINISH      18          1           1           39          39          0           39          0.000       0.000       107         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 862.562     FINISH      19          1           1           39          39          0           39          0.000       0.000       107         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 863.560     ARRIVE      40          1           1           40          39          0           39          0.000       0.000       107         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 863.560     START       40          1           1           40          40          0           40          0.000       0.000       108         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 864.868     FINISH      20          1           1           40          40          0           40          0.000       0.000       108         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 865.400     ARRIVE      41          1           1           41          40          0           40          0.000       0.000       108         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 865.400     START       41          1           1           41          41          0           41          0.000       0.000       110         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 866.599     ARRIVE      42          1           1           42          41          0           41          0.000       0.000       110         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 866.599     START       42          1           1           42          42          0           42          0.000       0.000       114         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 868.319     FINISH      21          1           1           42          42          0           42          0.000       0.000       114         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 869.209     ARRIVE      43          1           1           43          42          0           42          0.000       0.000       114         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 869.209     START       43          1           1           43          43          0           43          0.000       0.000       115         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 875.061     FINISH      22          1           1           43          43          0           43          0.000       0.000       115         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 875.571     ARRIVE      44          1           1           44          43          0           43          0.000       0.000       115         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 875.571     START       44          1           1           44          44          0           44          0.000       0.000       116         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 876.026     ARRIVE      45          1           1           45          44          0           44          0.000       0.000       116         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 876.026     START       45          1           1           45          45          0           45          0.000       0.000       120         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 876.150     ARRIVE      46          1           1           46          45          0           45          0.000       0.000       120         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 876.150     START       46          1           1           46          46          0           46          0.000       0.000       124         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 877.185     FINISH      23          1           1           46          46          0           46          0.000       0.000       124         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 878.938     ARRIVE      47          1           1           47          46          0           46          0.000       0.000       124         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 878.938     START       47          1           1           47          47          0           47          0.000       0.000       125         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 881.167     FINISH      24          1           1           47          47          0           47          0.000       0.000       125         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
